Warning: file 'Mem.hex' for memory 'rf' has a gap at addresses 524288 to 150994943.
Warning: RegFile 'top.mem_model.rf' -- Read address is out of bounds: 0xaaaaaaaaaaaaaaaa
================================================================
Bluespec RISC-V standalone system simulation v1.1
Copyright (c) 2017-2018 Bluespec, Inc. All Rights Reserved.
================================================================
================================================================
CPU: Bluespec  RISC-V  Piccolo  v3.0
Copyright (c) 2016-2018 Bluespec, Inc. All Rights Reserved.
================================================================
135: Mem_Controller.set_addr_map: addr_base 0x80000000 addr_lim 0x90000000
[[ 0x0077 ]], halt: False, trap: False, insn:0xfff00093, pc:0x8000b80c, rd: 0x00001, rd_wdata:0xffffffffffffffff
[[ 0x0078 ]], halt: False, trap: False, insn:0x00100113, pc:0x8000b810, rd: 0x00010, rd_wdata:0x0000000000000001
[[ 0x0079 ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b814, rd: 0x11110, rd_wdata:0x0000000000000000
[[ 0x007a ]], halt: False, trap: False, insn:0x00000e93, pc:0x8000b818, rd: 0x11101, rd_wdata:0x0000000000000000
[[ 0x007b ]], halt: False, trap: False, insn:0x00e00193, pc:0x8000b81c, rd: 0x00011, rd_wdata:0x000000000000000e
[[ 0x007c ]], halt: False, trap: False, insn:0x39df1663, pc:0x8000b820, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x007d ]], halt: False, trap: False, insn:0xfff00093, pc:0x8000b824, rd: 0x00001, rd_wdata:0xffffffffffffffff
[[ 0x007e ]], halt: False, trap: False, insn:0xfff00113, pc:0x8000b828, rd: 0x00010, rd_wdata:0xffffffffffffffff
[[ 0x007f ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b82c, rd: 0x11110, rd_wdata:0xfffffffffffffffe
[[ 0x0080 ]], halt: False, trap: False, insn:0xffe00e93, pc:0x8000b830, rd: 0x11101, rd_wdata:0xfffffffffffffffe
[[ 0x0081 ]], halt: False, trap: False, insn:0x00f00193, pc:0x8000b834, rd: 0x00011, rd_wdata:0x000000000000000f
[[ 0x0082 ]], halt: False, trap: False, insn:0x37df1a63, pc:0x8000b838, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0083 ]], halt: False, trap: False, insn:0x00100093, pc:0x8000b83c, rd: 0x00001, rd_wdata:0x0000000000000001
[[ 0x0084 ]], halt: False, trap: False, insn:0x80000137, pc:0x8000b840, rd: 0x00010, rd_wdata:0xffffffff80000000
[[ 0x0085 ]], halt: False, trap: False, insn:0xfff1011b, pc:0x8000b844, rd: 0x00010, rd_wdata:0x000000007fffffff
[[ 0x0086 ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b848, rd: 0x11110, rd_wdata:0x0000000080000000
[[ 0x0087 ]], halt: False, trap: False, insn:0x00100e9b, pc:0x8000b84c, rd: 0x11101, rd_wdata:0x0000000000000001
[[ 0x0088 ]], halt: False, trap: False, insn:0x01fe9e93, pc:0x8000b850, rd: 0x11101, rd_wdata:0x0000000080000000
[[ 0x0089 ]], halt: False, trap: False, insn:0x01000193, pc:0x8000b854, rd: 0x00011, rd_wdata:0x0000000000000010
[[ 0x008a ]], halt: False, trap: False, insn:0x35df1a63, pc:0x8000b858, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x008b ]], halt: False, trap: False, insn:0x00d00093, pc:0x8000b85c, rd: 0x00001, rd_wdata:0x000000000000000d
[[ 0x008c ]], halt: False, trap: False, insn:0x00b00113, pc:0x8000b860, rd: 0x00010, rd_wdata:0x000000000000000b
[[ 0x008d ]], halt: False, trap: False, insn:0x002080b3, pc:0x8000b864, rd: 0x00001, rd_wdata:0x0000000000000018
[[ 0x008e ]], halt: False, trap: False, insn:0x01800e93, pc:0x8000b868, rd: 0x11101, rd_wdata:0x0000000000000018
[[ 0x008f ]], halt: False, trap: False, insn:0x01100193, pc:0x8000b86c, rd: 0x00011, rd_wdata:0x0000000000000011
[[ 0x0090 ]], halt: False, trap: False, insn:0x33d09e63, pc:0x8000b870, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0091 ]], halt: False, trap: False, insn:0x00e00093, pc:0x8000b874, rd: 0x00001, rd_wdata:0x000000000000000e
[[ 0x0092 ]], halt: False, trap: False, insn:0x00b00113, pc:0x8000b878, rd: 0x00010, rd_wdata:0x000000000000000b
[[ 0x0093 ]], halt: False, trap: False, insn:0x00208133, pc:0x8000b87c, rd: 0x00010, rd_wdata:0x0000000000000019
[[ 0x0094 ]], halt: False, trap: False, insn:0x01900e93, pc:0x8000b880, rd: 0x11101, rd_wdata:0x0000000000000019
[[ 0x0095 ]], halt: False, trap: False, insn:0x01200193, pc:0x8000b884, rd: 0x00011, rd_wdata:0x0000000000000012
[[ 0x0096 ]], halt: False, trap: False, insn:0x33d11263, pc:0x8000b888, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0097 ]], halt: False, trap: False, insn:0x00d00093, pc:0x8000b88c, rd: 0x00001, rd_wdata:0x000000000000000d
[[ 0x0098 ]], halt: False, trap: False, insn:0x001080b3, pc:0x8000b890, rd: 0x00001, rd_wdata:0x000000000000001a
[[ 0x0099 ]], halt: False, trap: False, insn:0x01a00e93, pc:0x8000b894, rd: 0x11101, rd_wdata:0x000000000000001a
[[ 0x009a ]], halt: False, trap: False, insn:0x01300193, pc:0x8000b898, rd: 0x00011, rd_wdata:0x0000000000000013
[[ 0x009b ]], halt: False, trap: False, insn:0x31d09863, pc:0x8000b89c, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x009c ]], halt: False, trap: False, insn:0x00000213, pc:0x8000b8a0, rd: 0x00100, rd_wdata:0x0000000000000000
[[ 0x009d ]], halt: False, trap: False, insn:0x00d00093, pc:0x8000b8a4, rd: 0x00001, rd_wdata:0x000000000000000d
[[ 0x009e ]], halt: False, trap: False, insn:0x00b00113, pc:0x8000b8a8, rd: 0x00010, rd_wdata:0x000000000000000b
[[ 0x009f ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b8ac, rd: 0x11110, rd_wdata:0x0000000000000018
[[ 0x00a0 ]], halt: False, trap: False, insn:0x000f0313, pc:0x8000b8b0, rd: 0x00110, rd_wdata:0x0000000000000018
[[ 0x00a1 ]], halt: False, trap: False, insn:0x00120213, pc:0x8000b8b4, rd: 0x00100, rd_wdata:0x0000000000000001
[[ 0x00a2 ]], halt: False, trap: False, insn:0x00200293, pc:0x8000b8b8, rd: 0x00101, rd_wdata:0x0000000000000002
[[ 0x00a3 ]], halt: False, trap: False, insn:0xfe5214e3, pc:0x8000b8bc, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x00a4 ]], halt: False, trap: False, insn:0x00d00093, pc:0x8000b8a4, rd: 0x00001, rd_wdata:0x000000000000000d
